Timestamp,CPU(%),RAM(%)
2025-09-09 16:00:09,6.41,63
2025-09-09 16:00:41,5.85,62.71
2025-09-09 16:05:43,5.23,61.49
2025-09-09 16:06:02,5.84,61.96
2025-09-09 16:41:29,5.47,64.26
2025-09-09 16:42:12,6.18,64.25
2025-09-09 16:42:29,6.49,64.49
2025-09-09 16:42:37,6.45,64.4
2025-09-09 16:44:45,5.98,64.1
2025-09-09 16:44:50,5.82,63.91
2025-09-09 16:45:28,6.96,64.95
2025-09-09 16:45:33,6.96,64.82
2025-09-09 16:45:50,7.03,64.38
2025-09-09 16:45:51,7.03,64.36
2025-09-09 16:45:51,7.03,64.32
2025-09-09 16:45:52,7.03,64.29
2025-09-09 16:45:52,6.95,64.33
2025-09-09 16:45:53,6.95,64.37
2025-09-09 16:45:53,6.95,64.39
2025-09-09 16:45:54,6.95,64.5
2025-09-09 16:45:54,6.95,64.63
2025-09-09 16:45:54,6.95,64.64
2025-09-09 16:45:55,6.95,64.63
2025-09-09 16:45:55,6.95,64.62
2025-09-09 16:45:55,6.95,64.63
2025-09-09 16:45:55,6.95,64.66
2025-09-09 16:45:56,6.95,64.63
2025-09-09 16:45:56,6.95,64.64
2025-09-09 16:45:56,6.95,64.68
2025-09-09 16:45:56,6.95,64.7
2025-09-09 16:45:57,6.95,64.67
2025-09-09 16:45:57,6.95,64.65
2025-09-09 16:45:57,6.95,64.66
2025-09-09 16:45:57,7.03,64.68
2025-09-09 16:45:58,7.03,64.41
2025-09-09 16:45:58,7.03,64.41
2025-09-09 16:45:58,7.03,64.35
2025-09-09 16:45:59,7.03,64.37
2025-09-09 16:45:59,7.03,64.39
2025-09-09 16:45:59,7.03,64.4
2025-09-09 16:45:59,7.03,64.4
2025-09-09 16:46:00,7.03,64.38
2025-09-09 16:46:00,7.03,64.39
2025-09-09 16:46:00,7.03,64.38
2025-09-09 16:46:00,7.03,64.38
2025-09-09 16:46:00,7.03,64.38
2025-09-09 16:46:01,7.03,64.34
2025-09-09 16:46:01,7.03,64.34
2025-09-09 16:46:01,7.03,64.36
2025-09-09 16:46:01,7.03,64.4
2025-09-09 16:46:02,7.03,64.39
2025-09-09 16:46:02,7.03,64.4
2025-09-09 16:46:02,7.03,64.47
2025-09-09 16:46:02,7.11,64.52
2025-09-09 16:46:03,7.11,64.47
2025-09-09 16:46:03,7.11,64.48
2025-09-09 16:46:03,7.11,64.5
2025-09-09 16:46:03,7.11,64.51
2025-09-09 16:46:04,7.11,64.51
2025-09-09 16:46:04,7.11,64.49
2025-09-09 16:46:04,7.11,64.51
2025-09-09 16:46:04,7.11,64.51
2025-09-09 16:46:05,7.11,64.49
2025-09-09 16:46:05,7.11,64.52
2025-09-09 16:46:05,7.11,64.55
2025-09-09 16:46:05,7.11,64.83
2025-09-09 16:46:05,7.11,64.9
2025-09-09 16:46:06,7.11,64.51
2025-09-09 16:46:06,7.11,64.5
2025-09-09 16:46:06,7.11,64.51
2025-09-09 16:46:06,7.11,64.5
2025-09-09 16:46:07,7.11,64.45
2025-09-09 16:46:07,7.11,64.41
2025-09-09 16:46:07,7.11,64.4
2025-09-09 16:46:07,6.78,64.41
2025-09-09 16:51:25,5.41,64
2025-09-09 16:51:31,5.37,63.86
2025-09-09 16:54:46,6.65,63.53
2025-09-09 16:54:48,6.65,63.81
2025-09-09 16:55:04,6.95,64.42
2025-09-09 16:55:05,6.95,64.38
2025-09-09 16:55:07,7.11,64.54
2025-09-09 21:42:06,5.34,61.98
2025-09-09 21:42:10,5.95,62.05
