Timestamp,CPU(%),RAM(%)
2025-09-10 01:44:09,5.06,62.9
2025-09-10 17:50:54,6.23,64.77
2025-09-10 17:50:56,6.23,65.16
2025-09-10 17:50:58,6.23,65.05
2025-09-10 17:50:59,6.13,64.95
2025-09-10 17:50:59,6.13,64.91
2025-09-10 17:50:59,6.13,64.92
2025-09-10 17:51:00,6.13,64.94
2025-09-10 17:51:00,6.13,64.84
2025-09-10 17:51:00,6.13,64.87
2025-09-10 17:51:00,6.13,64.92
2025-09-10 17:51:00,6.13,64.94
2025-09-10 17:51:00,6.13,64.94
2025-09-10 17:51:01,6.13,64.9
2025-09-10 17:51:01,6.13,64.9
2025-09-10 17:51:01,6.13,64.85
2025-09-10 17:51:01,6.13,64.81
2025-09-10 17:51:01,6.13,64.8
2025-09-10 17:51:02,6.13,64.83
2025-09-10 17:51:02,6.13,65.11
2025-09-10 17:51:02,6.13,64.85
2025-09-10 17:51:02,6.13,64.85
2025-09-10 17:51:02,6.13,64.93
2025-09-10 17:51:02,6.13,65.12
2025-09-10 17:51:03,6.13,64.86
2025-09-10 17:51:03,6.13,64.87
2025-09-10 17:51:03,6.13,65.07
2025-09-10 17:51:03,6.13,65.2
2025-09-10 17:51:03,6.13,65.26
2025-09-10 17:51:03,6.13,65.26
2025-09-10 17:51:04,6.13,64.9
2025-09-10 17:51:04,6.13,64.98
2025-09-10 17:51:04,6.28,64.9
2025-09-10 17:51:04,6.28,64.89
2025-09-10 17:51:05,6.28,65.25
2025-09-10 17:51:05,6.28,64.89
2025-09-10 17:51:05,6.28,64.85
2025-09-10 17:51:05,6.28,64.83
